"slug","title","category","published_at","updated_at","word_count","source_count","broken_links","overlap_group","firsthand_evidence","utility_asset","current_status","recommendation","reason"
"google-forms-school-use-guide","学校でGoogleフォームを使う方法：アンケート・振り返り・校務効率化の基本","ICT活用","2026-06-19","2026-06-19","6256","0","0","ICTツール操作","USER INPUT REQUIRED","あり","UNPUBLISHED","MERGE","サービス固有仕様の継続更新が必要"
"ict-teaching-tools-selection-guide","教員向けICT教材・支援ツールの選び方：授業と特別支援で使いやすい観点","教材・支援ツール","2026-06-19","2026-06-19","4747","0","0","教材選定","USER INPUT REQUIRED","あり","PUBLISHED","KEEP_AND_STRENGTHEN","選定観点を比較できる実用記事"
"individual-education-plan-writing-guide","個別の教育支援計画・個別の指導計画の書き方：学校現場で使える基本ガイド","特別支援教育","2026-06-17","2026-07-08","7978","0","0","個別計画","USER INPUT REQUIRED","あり","PUBLISHED","KEEP_AND_STRENGTHEN","記入手順と改善例を持つ中核記事"
"information-morals-education-themes","情報モラル教育の進め方：授業で扱う5つのテーマ","ICT活用","2026-06-17","2026-06-17","5338","0","0","ICT安全","USER INPUT REQUIRED","あり","UNPUBLISHED","MERGE","安全確認・個人情報記事と論点が重複"
"joseikin-guide-2025","2025年度 特別支援教育・ICT活用に使える助成金・補助金まとめ","助成金・補助金","2025-04-15","2026-06-19","3108","0","0","助成金","USER INPUT REQUIRED","あり","UNPUBLISHED","UNPUBLISH","年度が古く制度情報の正確性を維持できない"
"kyoiku-dx-kiso","教育DXとは何か？現場教員が押さえておきたい基礎知識","ICT活用","2026-06-16","2026-06-19","1749","0","0","教育DX入門","USER INPUT REQUIRED","なし","UNPUBLISHED","MERGE","一般的な基礎説明で中核記事との重複が大きい"
"microsoft-copilot-teacher-guide","教員向けMicrosoft Copilot活用ガイド：校務で使う前に知っておきたいこと","AI校務改善","2026-06-19","2026-06-19","4626","1","0","生成AI入門","USER INPUT REQUIRED","あり","UNPUBLISHED","MERGE","サービス仕様依存で安全確認記事と重複"
"reasonable-accommodation-school-record","合理的配慮の申請と記録：学校現場での進め方ガイド","特別支援教育","2026-06-17","2026-06-17","3435","0","0","合理的配慮と記録","USER INPUT REQUIRED","なし","PUBLISHED","KEEP_AND_STRENGTHEN","申請・合意形成・記録の具体手順"
"school-generative-ai-privacy-security","学校で生成AIを使うときの個人情報・セキュリティの注意点【教員向け】","AI校務改善","2026-06-16","2026-06-17","2358","0","0","ツール安全確認","USER INPUT REQUIRED","あり","PUBLISHED","KEEP_AND_STRENGTHEN","学校の個人情報・安全確認に焦点"
"school-training-ict-ai-guide","教員研修を校内で進める方法：ICT・AI活用を現場に広げるポイント","研修・セミナー","2026-06-19","2026-06-19","5025","0","0","研修","USER INPUT REQUIRED","あり","UNPUBLISHED","UNPUBLISH","研修記事間の重複が大きく中核3領域外"
"special-needs-behavior-record-guide","特別支援教育における行動記録の取り方：支援に生かす観察と記録の基本","特別支援教育","2026-06-19","2026-07-08","5609","0","0","行動記録","USER INPUT REQUIRED","あり","PUBLISHED","KEEP_AND_STRENGTHEN","ABC記録様式を持つ中核記事"
"special-needs-ict-reasonable-accommodation","特別支援教育におけるICT活用と合理的配慮｜現場で確認したい視点","特別支援教育","2026-06-27","2026-07-08","2652","0","0","合理的配慮と記録","USER INPUT REQUIRED","あり","PUBLISHED","KEEP_AND_STRENGTHEN","配慮と指導を区別する中核解説"
"special-needs-ict-support-tools-checklist","特別支援教育で使えるICT支援ツールの選び方——目的別に考える支援と授業活用","教材・支援ツール","2026-06-21","2026-06-21","2481","0","0","教材選定","USER INPUT REQUIRED","あり","PUBLISHED","KEEP_AND_STRENGTHEN","目的別チェックリストを持つ"
"special-needs-parent-collaboration","特別支援教育の保護者連携：面談・相談で大切にしたいポイント","特別支援教育","2026-06-19","2026-06-19","5537","0","0","合理的配慮と記録","USER INPUT REQUIRED","あり","UNPUBLISHED","MERGE","合理的配慮・計画記事へ統合可能"
"special-needs-visual-schedule-support","特別支援教育における見通し支援：スケジュール・手順表・視覚支援の使い方","特別支援教育","2026-06-19","2026-06-19","7347","0","0","視覚支援","USER INPUT REQUIRED","あり","PUBLISHED","KEEP_AND_STRENGTHEN","支援手順と様式に展開できる具体性"
"tablet-ict-jugyo-giga","タブレット1台で始める授業ICT活用【GIGAスクール対応】","ICT活用","2026-06-17","2026-06-17","2867","0","0","GIGA端末","USER INPUT REQUIRED","なし","UNPUBLISHED","MERGE","giga-device-lesson-use-guideと主題が重複"
"tokubetsu-shien-ict","特別支援教育でICTを活用する：タブレット・AAC・読み上げソフトの選び方","特別支援教育","2025-05-20","2026-06-17","2386","0","0","特別支援ICT","USER INPUT REQUIRED","なし","PUBLISHED","KEEP_AND_STRENGTHEN","特別支援教育×ICTの入口となる中核記事"
