"slug","claim_id","section","claim","claim_type","risk_level","source_title","source_publisher","source_url","source_date","checked_at","status","action","notes"
"education-ai-service-checklist-before-use","education-ai-service-checklist-before-use-02","著作権","AI生成物は既存著作物との類似性等を確認する必要がある","LAW_POLICY","HIGH","AIと著作権に関する考え方について","文化庁","https://www.bunka.go.jp/seisaku/bunkashingikai/chosakuken/pdf/94037901_01.pdf","2024-03-15","2026-07-21","VERIFIED","ADD_CITATION","文化庁資料に対応"
"education-ai-service-checklist-before-use","education-ai-service-checklist-before-use-03","導入順序","掲載した校内確認順序が実際の運用と整合するか","FIRSTHAND_EXPERIENCE","MEDIUM","","","","","2026-07-24","VERIFIED","KEEP","運営者確認済（2026-07-24）：経験B。確認された範囲のみを匿名・一般化して掲載。効果の実証・具体的な時短時間・全校導入は断定しない。"
"generative-ai-guideline-v2-school-reading","generative-ai-guideline-v2-school-reading-01","版と日付","ガイドラインVer.2.0は2024年12月26日に公表された","LAW_POLICY","HIGH","初等中等教育段階における生成AIの利活用に関するガイドライン（Ver.2.0）","文部科学省","https://www.mext.go.jp/content/000332373.pdf","2024-12-26","2026-07-21","VERIFIED","ADD_CITATION","原本PDFで確認"
"generative-ai-guideline-v2-school-reading","generative-ai-guideline-v2-school-reading-02","位置付け","ガイドラインは一律の禁止・許可ではなく場面別の留意点を示す","LAW_POLICY","HIGH","初等中等教育段階における生成AIの利活用に関するガイドライン（Ver.2.0）","文部科学省","https://www.mext.go.jp/content/000332373.pdf","2024-12-26","2026-07-21","VERIFIED","KEEP","原本の基本的考え方に対応"
"generative-ai-guideline-v2-school-reading","generative-ai-guideline-v2-school-reading-03","読み方","記事の原本確認手順が校内で使いやすいか","FIRSTHAND_EXPERIENCE","LOW","","","","","2026-07-24","UNVERIFIED","REWRITE","経験C（資料でのみ確認）：運営者の実経験としては非掲載。実体験を示唆する表現を中立的な一般表現へ書き換え済み。成果物・記述は公的資料に基づき維持。"
"giga-device-lesson-use-guide","giga-device-lesson-use-guide-01","整備目的","1人1台端末を日常的に活用する方針が示されている","LAW_POLICY","HIGH","「StuDX Style」について","文部科学省","https://www.mext.go.jp/studxstyle/about/index.html","2020-12","2026-07-21","VERIFIED","ADD_CITATION","StuDX Styleで確認"
"giga-device-lesson-use-guide","giga-device-lesson-use-guide-02","授業設計","学習目標から端末を使う場面・使わない場面を選ぶ","PROFESSIONAL_PRACTICE","MEDIUM","「StuDX Style」について","文部科学省","https://www.mext.go.jp/studxstyle/about/index.html","2020-12","2026-07-21","PARTIALLY_VERIFIED","KEEP","具体手順は編集部整理"
"giga-device-lesson-use-guide","giga-device-lesson-use-guide-03","代替案","掲載トラブル対応が運営者の環境でも妥当か","FIRSTHAND_EXPERIENCE","MEDIUM","","","","","2026-07-24","VERIFIED","KEEP","運営者確認済（2026-07-24）：経験A。確認された範囲のみを匿名・一般化して掲載。効果の実証・具体的な時短時間・全校導入は断定しない。"
"ict-teaching-tools-selection-guide","ict-teaching-tools-selection-guide-01","選定条件","アクセシビリティと個人情報の取扱いを導入前に確認する","PROFESSIONAL_PRACTICE","HIGH","StuDX Style 各教科等での活用「特別支援」","文部科学省","https://www.mext.go.jp/a_menu/shotou/tokubetu/mext_00025.html","2025-07-28","2026-07-21","PARTIALLY_VERIFIED","ADD_CITATION","個人情報部分はPPC資料も参照"
"ict-teaching-tools-selection-guide","ict-teaching-tools-selection-guide-02","個人情報","AI機能へ入力するデータの処理方法をサービスごとに確認する","LAW_POLICY","HIGH","生成AIサービスの利用に関する注意喚起等","個人情報保護委員会","https://www.ppc.go.jp/news/careful_information/230602_AI_utilize_alert/","2023-06-02","2026-07-21","VERIFIED","ADD_CITATION","規約への直接確認を促す"
"ict-teaching-tools-selection-guide","ict-teaching-tools-selection-guide-03","選定表","選定マトリクスの項目が校内選定で使えるか","FIRSTHAND_EXPERIENCE","MEDIUM","","","","","2026-07-24","VERIFIED","KEEP","運営者確認済（2026-07-24）：経験A。確認された範囲のみを匿名・一般化して掲載。効果の実証・具体的な時短時間・全校導入は断定しない。"
"individual-education-plan-writing-guide","individual-education-plan-writing-guide-01","計画の違い","教育支援計画と指導計画は目的・対象期間・記載内容が異なる","LAW_POLICY","HIGH","個別の教育支援計画の参考様式について","文部科学省","https://www.mext.go.jp/a_menu/shotou/tokubetu/material/1340250_00005.htm","2021-10-29","2026-07-21","VERIFIED","ADD_CITATION","参考様式と事務連絡に対応"
"individual-education-plan-writing-guide","individual-education-plan-writing-guide-02","目標と評価","観察可能な目標と条件を記録する","PROFESSIONAL_PRACTICE","MEDIUM","個別の教育支援計画の参考様式について","文部科学省","https://www.mext.go.jp/a_menu/shotou/tokubetu/material/1340250_00005.htm","2021-10-29","2026-07-21","PARTIALLY_VERIFIED","KEEP","記事の文例は架空"
"individual-education-plan-writing-guide","individual-education-plan-writing-guide-03","確認票","公開・引継ぎ前チェックリストが実務上妥当か","FIRSTHAND_EXPERIENCE","MEDIUM","","","","","2026-07-24","VERIFIED","KEEP","運営者確認済（2026-07-24）：経験A。確認された範囲のみを匿名・一般化して掲載。効果の実証・具体的な時短時間・全校導入は断定しない。"
"reasonable-accommodation-school-record","reasonable-accommodation-school-record-01","決定過程","本人・保護者との建設的対話を通じて合理的配慮を検討する","LAW_POLICY","HIGH","障害を理由とする差別の解消の推進に関する対応指針","文部科学省","https://www.mext.go.jp/a_menu/shotou/tokubetu/material/mext_02599.html","2023-12-28","2026-07-21","VERIFIED","ADD_CITATION","対応指針で確認"
"reasonable-accommodation-school-record","reasonable-accommodation-school-record-02","記録","合意した合理的配慮を個別の教育支援計画等へ記載し共有する","LAW_POLICY","HIGH","障害を理由とする差別の解消の推進に関する対応指針","文部科学省","https://www.mext.go.jp/a_menu/shotou/tokubetu/material/mext_02599.html","2023-12-28","2026-07-21","VERIFIED","ADD_CITATION","プライバシーへの配慮も必要"
"reasonable-accommodation-school-record","reasonable-accommodation-school-record-03","文例","架空の記録文例が実務上不自然でないか","FIRSTHAND_EXPERIENCE","MEDIUM","","","","","2026-07-24","VERIFIED","KEEP","運営者確認済（2026-07-24）：経験B。確認された範囲のみを匿名・一般化して掲載。効果の実証・具体的な時短時間・全校導入は断定しない。"
"school-generative-ai-privacy-security","school-generative-ai-privacy-security-01","個人情報","生成AIへ個人データを入力する前に利用目的と処理方法を確認する","LAW_POLICY","HIGH","生成AIサービスの利用に関する注意喚起等","個人情報保護委員会","https://www.ppc.go.jp/news/careful_information/230602_AI_utilize_alert/","2023-06-02","2026-07-21","VERIFIED","ADD_CITATION","PPC注意喚起に対応"
"school-generative-ai-privacy-security","school-generative-ai-privacy-security-02","ファクトチェック","AI出力の事実・引用・出典を教員が確認する","LAW_POLICY","HIGH","初等中等教育段階における生成AIの利活用に関するガイドライン（Ver.2.0）","文部科学省","https://www.mext.go.jp/content/000332373.pdf","2024-12-26","2026-07-21","VERIFIED","ADD_CITATION","ガイドラインに対応"
"school-generative-ai-privacy-security","school-generative-ai-privacy-security-03","二段階確認票","匿名化・出力確認チェックリストが現場で使えるか","FIRSTHAND_EXPERIENCE","MEDIUM","","","","","2026-07-24","VERIFIED","KEEP","運営者確認済（2026-07-24）：経験A。確認された範囲のみを匿名・一般化して掲載。効果の実証・具体的な時短時間・全校導入は断定しない。"
"special-needs-behavior-record-guide","special-needs-behavior-record-guide-01","ABC記録","先行条件・行動・結果を分けて観察記録する手法","RESEARCH","HIGH","行動問題のある自閉症支援における研修効果に関する研究","国立特別支援教育総合研究所","https://nise.repo.nii.ac.jp/records/2000006","2024-03","2026-07-21","VERIFIED","ADD_CITATION","研究紀要の研修内容で確認"
"special-needs-behavior-record-guide","special-needs-behavior-record-guide-02","因果推論","単一記録だけで行動の理由や支援効果を断定しない","PROFESSIONAL_PRACTICE","HIGH","行動問題のある自閉症支援における研修効果に関する研究","国立特別支援教育総合研究所","https://nise.repo.nii.ac.jp/records/2000006","2024-03","2026-07-21","PARTIALLY_VERIFIED","REWRITE","架空例に断定回避注記を追加"
"special-needs-behavior-record-guide","special-needs-behavior-record-guide-03","ABC様式","空欄様式と完全な架空例が実務上妥当か","FIRSTHAND_EXPERIENCE","MEDIUM","","","","","2026-07-24","VERIFIED","KEEP","運営者確認済（2026-07-24）：経験A。確認された範囲のみを匿名・一般化して掲載。効果の実証・具体的な時短時間・全校導入は断定しない。"
"special-needs-ict-reasonable-accommodation","special-needs-ict-reasonable-accommodation-01","合理的配慮","ICT利用も本人の教育的ニーズと建設的対話に基づき個別に検討する","LAW_POLICY","HIGH","障害を理由とする差別の解消の推進に関する対応指針","文部科学省","https://www.mext.go.jp/a_menu/shotou/tokubetu/material/mext_02599.html","2023-12-28","2026-07-21","VERIFIED","ADD_CITATION","一律の機能推奨を避ける"
"special-needs-ict-reasonable-accommodation","special-needs-ict-reasonable-accommodation-02","ICT活用","障害特性に応じて拡大・読み上げ等の機能を検討する","PROFESSIONAL_PRACTICE","MEDIUM","StuDX Style 各教科等での活用「特別支援」","文部科学省","https://www.mext.go.jp/a_menu/shotou/tokubetu/mext_00025.html","2025-07-28","2026-07-21","VERIFIED","ADD_CITATION","文科省の障害種別資料に対応"
"special-needs-ict-reasonable-accommodation","special-needs-ict-reasonable-accommodation-03","校内手順","記事の相談・記録手順が運営者の実務と整合するか","FIRSTHAND_EXPERIENCE","MEDIUM","","","","","2026-07-24","VERIFIED","KEEP","運営者確認済（2026-07-24）：経験B。確認された範囲のみを匿名・一般化して掲載。効果の実証・具体的な時短時間・全校導入は断定しない。"
"special-needs-ict-support-tools-checklist","special-needs-ict-support-tools-checklist-01","目的","ツールは参加・理解・表現上の困難と利用目的から選ぶ","PROFESSIONAL_PRACTICE","MEDIUM","StuDX Style 各教科等での活用「特別支援」","文部科学省","https://www.mext.go.jp/a_menu/shotou/tokubetu/mext_00025.html","2025-07-28","2026-07-21","PARTIALLY_VERIFIED","ADD_CITATION","目的別分類は編集部整理"
"special-needs-ict-support-tools-checklist","special-needs-ict-support-tools-checklist-02","合理的配慮","特定機能を障害名だけで一律に決めない","LAW_POLICY","HIGH","障害を理由とする差別の解消の推進に関する対応指針","文部科学省","https://www.mext.go.jp/a_menu/shotou/tokubetu/material/mext_02599.html","2023-12-28","2026-07-21","VERIFIED","KEEP","個別検討を明記"
"special-needs-ict-support-tools-checklist","special-needs-ict-support-tools-checklist-03","チェックリスト","目的別チェックリストが実務上使えるか","FIRSTHAND_EXPERIENCE","MEDIUM","","","","","2026-07-24","VERIFIED","KEEP","運営者確認済（2026-07-24）：経験B。確認された範囲のみを匿名・一般化して掲載。効果の実証・具体的な時短時間・全校導入は断定しない。"
"special-needs-visual-schedule-support","special-needs-visual-schedule-support-01","視覚支援","スケジュール等の視覚情報を実態に応じて調整する","PROFESSIONAL_PRACTICE","MEDIUM","行動問題のある自閉症支援における研修効果に関する研究","国立特別支援教育総合研究所","https://nise.repo.nii.ac.jp/records/2000006","2024-03","2026-07-21","PARTIALLY_VERIFIED","ADD_CITATION","研究紀要の支援検討に対応"
"special-needs-visual-schedule-support","special-needs-visual-schedule-support-02","効果表現","視覚支援が自立や行動改善を必ずもたらす","RESEARCH","HIGH","","","","","2026-07-21","UNVERIFIED","REWRITE","個人差を明記し記録で見直す表現へ限定"
"special-needs-visual-schedule-support","special-needs-visual-schedule-support-03","支援例","掲載例と見直し手順が実務上妥当か","FIRSTHAND_EXPERIENCE","MEDIUM","","","","","2026-07-24","VERIFIED","KEEP","運営者確認済（2026-07-24）：経験A。確認された範囲のみを匿名・一般化して掲載。効果の実証・具体的な時短時間・全校導入は断定しない。"
"tokubetsu-shien-ict","tokubetsu-shien-ict-01","ICT機能","拡大・読み上げ・音声入力等は障害特性に応じた選択肢になり得る","PROFESSIONAL_PRACTICE","MEDIUM","StuDX Style 各教科等での活用「特別支援」","文部科学省","https://www.mext.go.jp/a_menu/shotou/tokubetu/mext_00025.html","2025-07-28","2026-07-21","VERIFIED","ADD_CITATION","文科省資料に対応"
"tokubetsu-shien-ict","tokubetsu-shien-ict-02","合理的配慮","ICT活用を合理的配慮とする場合は個別に検討・記録する","LAW_POLICY","HIGH","障害を理由とする差別の解消の推進に関する対応指針","文部科学省","https://www.mext.go.jp/a_menu/shotou/tokubetu/material/mext_02599.html","2023-12-28","2026-07-21","VERIFIED","ADD_CITATION","対応指針に対応"
"tokubetsu-shien-ict","tokubetsu-shien-ict-03","具体例","各機能の利用例が運営者の確認範囲で妥当か","FIRSTHAND_EXPERIENCE","MEDIUM","","","","","2026-07-24","VERIFIED","KEEP","運営者確認済（2026-07-24）：経験A。確認された範囲のみを匿名・一般化して掲載。効果の実証・具体的な時短時間・全校導入は断定しない。"
