finding_id,original_review,original_severity,title,affected_file,affected_slug,description,current_status,verification_evidence,final_disposition,final_severity,action_taken,reviewer,notes
H11,Review D,HIGH,"別記事の存在しない見出しを名指ししている。「[生成AIで学級通信・学年だよりを下書きする手順](/articles/ai-class-new","content/articles/chatgpt-tsuchihyo-shoken.md","chatgpt-tsuchihyo-shoken","別記事の存在しない見出しを名指ししている。「[生成AIで学級通信・学年だよりを下書きする手順](/articles/ai-class-newsletter-prompt)の『Step 4：人が事実を戻す』に一覧があります」と書かれているが、ai-class-newsletter-prompt.md の見出しは今回の改稿で Step 番号が全廃され、該当箇所は124行目「## 原資料と突き合わせて事実を戻す」になっている。main ブランチには「## Step 4：人が事実を戻す」が存在した（git show main:content/articles/ai-class-newsletter-prompt.md）ので、改稿時の取り残し。",VERIFIED_CLOSED,"「Step 4：人が事実を戻す」の残存 0 件。現行見出し「原資料と突き合わせて事実を戻す」へ差し替え済み。",FIX_BEFORE_MERGE,HIGH,"改稿で消えた節名を指す参照を修正",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"112行目"
H12,Review C,HIGH,"合理的配慮の根拠文書として「文部科学省の対応指針」を3か所で提示している（14行目「学校教育での考え方は文部科学省の対応指針に整理されていま","content/articles/reasonable-accommodation-school-record.md","reasonable-accommodation-school-record","合理的配慮の根拠文書として「文部科学省の対応指針」を3か所で提示している（14行目「学校教育での考え方は文部科学省の対応指針に整理されています」、137行目「文部科学省の対応指針では、負担が過重かどうかは…」、160行目「対応指針では、配慮は本人の困難さの実態にもとづいて…」）。しかし障害者差別解消法第11条の対応指針は「事業者」向けであり、同法第2条第7号は事業者から国・地方公共団体・独立行政法人等・地方独立行政法人を除いている。実際、当該指針の策定通知（https://www.mext.go.jp/a_menu/shotou/tokubetu/material/mext_02599.html）は公立学校・国立大学・教育委員会を「直接の対象ではない」と明記している。国公立学校が従うのは第9条の国等職員対応要領・第10条の地方公共団体等職員対応要領であり、「過重な負担」の判断要素（事務・事",VERIFIED_CLOSED,"「学校教育での考え方は文部科学省の対応指針に整理されています」の残存 0 件。「内閣府の基本方針」が3箇所に出現し、国公立=第7条第2項/私立=第8条第2項と対応要領の分岐を明示。",FIX_BEFORE_MERGE,HIGH,"事業者向け指針を公立学校の根拠として提示していた誤帰属を修正",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"14行目／137行目「要望どおりに実施できないときに、何を書き残すか」／160行目「診断書がないときの書き方」"
M1,Review B,MEDIUM,"「[生成AIで学級通信・学年だよりを下書きする手順]の「Step 4：人が事実を戻す」に一覧があります」とあるが、ai-class-news","content/articles/chatgpt-tsuchihyo-shoken.md","chatgpt-tsuchihyo-shoken","「[生成AIで学級通信・学年だよりを下書きする手順]の「Step 4：人が事実を戻す」に一覧があります」とあるが、ai-class-newsletter-prompt.md に Step 4 という見出しは存在しない（見出しは「## 原資料と突き合わせて事実を戻す」／L124）。同記事に Step 番号を使った見出しは1つもない。",CLOSED,"「Step 4：人が事実を戻す」の残存 0 件。",SUPERSEDED_BY_HIGH_FIX,MEDIUM,"H11 と同一事象。H11 の修正で解消",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L112"
M2,Review B,MEDIUM,"L48 で「校内で誰に何を確認するか…の探し方は、[無料ICTツールを授業で使う前の確認手順]の「Gate 1：学校・設置者のルール上、使え","content/articles/chatgpt-tsuchihyo-shoken.md","chatgpt-tsuchihyo-shoken","L48 で「校内で誰に何を確認するか…の探し方は、[無料ICTツールを授業で使う前の確認手順]の「Gate 1：学校・設置者のルール上、使えるか」にまとめています」としているが、委譲先の Gate 1 は「約款による外部サービスを児童生徒に使わせてよいか」の確認経路（教育情報セキュリティポリシー、承認済みサービス一覧、利用申請様式）であり、所見という校務文書の決裁経路とは別物。委譲先自身が L107 で「ここでいう『止まる』は、児童生徒に使わせないこと」と範囲を宣言している。さらに L50 の「同じ判断ガイドの「Gate 1 で止まったあと、自校の扱いをどう調べるか」」も、実際の見出し（ai-koomu-kaizen-nyumon L115「校務ゲート1で止まったあと、自校の扱いを調べる」）と表記が一致しない。",CLOSED,"chatgpt L48 を書き替え、所見の決裁経路は自校の決裁の流れ、生成AIの利用可否は校務ゲート1、と分離した。",FIX_BEFORE_MERGE,MEDIUM,"校務文書の決裁経路を外部サービス利用可否の Gate 1 へ委譲していた誤りを修正",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L48 および L50"
M3,Review B,MEDIUM,"L87 で「校内の誰に、どの順で相談・報告してから外部へ出るかという手続きは、この記事では扱いません。管理職への報告や外部機関への照会の順番","content/articles/individual-education-plan-writing-guide.md","individual-education-plan-writing-guide","L87 で「校内の誰に、どの順で相談・報告してから外部へ出るかという手続きは、この記事では扱いません。管理職への報告や外部機関への照会の順番は、[行動記録の取り方]の「共有・相談の順番」に一本化しています」と宣言しているのに、同じ記事の L326「### 校外に出る場面では管理職の確認を挟む」で、進学先への引き継ぎ、外部機関への伝達、メール・クラウド送信、家庭への持ち帰りという4場面について、まさにその手続きを扱っている。",CLOSED,"IEP の「誰から・どの順で集めるか」から管理職・外部機関の手続き規定を削除済み（前回コミット）。残る記述は計画文書の共有範囲を扱う1か所のみ。",SUPERSEDED_BY_HIGH_FIX,MEDIUM,"重複解消の片寄せ（behavior-record への一本化）で自己矛盾も解消済み",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L87 と L326-335"
M4,Review B,MEDIUM,"「保護者への説明のしかた、家庭の負担への配慮、共有してよい情報の範囲の決め方は、[特別支援教育の保護者面談]にまとめてあります」とあるが、委","content/articles/special-needs-visual-schedule-support.md","special-needs-visual-schedule-support","「保護者への説明のしかた、家庭の負担への配慮、共有してよい情報の範囲の決め方は、[特別支援教育の保護者面談]にまとめてあります」とあるが、委譲先の special-needs-parent-collaboration.md には、視覚支援に限らず「家庭の負担への配慮」を扱う記述が存在しない。「保護者への説明のしかた」に相当するのは L160-170 の表だが、これは要望を保留にするときの言い方の例であり、支援ツールを家庭で使ってもらうときの説明とは別物。「共有してよい情報の範囲の決め方」も、委譲先はさらに individual-education-plan-writing-guide へ再委譲している。",CLOSED,"visual-schedule の委譲文を書き替え、家庭の負担は自記事で扱い、面談手順のみ parent-collaboration へ委譲する形にした。",FIX_BEFORE_MERGE,MEDIUM,"委譲先に存在しない内容を約束していた箇所を修正",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L344（「家庭で同じ形式を使うとき」の末尾）"
M5,Review B,MEDIUM,"「外部サービスを学校で使ってよいかの導入前確認 → [そのAIサービスを導入候補に載せてよいか]」と委譲しているが、委譲先は自ら L28-4","content/articles/google-forms-school-use-guide.md","google-forms-school-use-guide","「外部サービスを学校で使ってよいかの導入前確認 → [そのAIサービスを導入候補に載せてよいか]」と委譲しているが、委譲先は自ら L28-40 で「AIサービス固有の論点だけを見ます」「校内で誰に・どの順で確認するかは free-ict の Gate 1」と宣言している記事で、GoogleフォームはAIサービスではない。L17 で free-ict にはリンクしているが Gate 3・Gate 5 に限定されており、Gate 1（学校・設置者のルール上使えるか、確認経路の探し方）への導線が記事内に一つもない。L24 の「まずそこを確認してから読み進めてください」も、確認の方法・相手を示さないまま終わっている。",CLOSED,"google-forms の委譲先を education-ai（AI固有）から free-ict の Gate 1〜5 へ変更。",FIX_BEFORE_MERGE,MEDIUM,"Googleフォームは AI サービスではないため委譲先が不適切だった",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L16（扱わないものの表）と L24"
M6,Review B,MEDIUM,"「配慮と整理したなら個別の教育支援計画に、指導の手立てと整理したなら個別の指導計画に載るという対応になります」と、記載先を全国共通の対応関係","content/articles/special-needs-ict-reasonable-accommodation.md","special-needs-ict-reasonable-accommodation","「配慮と整理したなら個別の教育支援計画に、指導の手立てと整理したなら個別の指導計画に載るという対応になります」と、記載先を全国共通の対応関係として断定している。記事冒頭 L21 に「制度・運用は地域や学校により異なります」という一般的な但し書きはあるが、この一文自体は無条件。実際には、両計画を1つの様式に統合している自治体・学校（通知表兼個別の指導計画など）や、合理的配慮の記載欄を指導計画側に置いている様式が現に存在する。委譲先の individual-education-plan-writing-guide L256-261 は同じ内容をより慎重に（「必要に応じて」「計画の書式に合わせて要約する」）書いており、両記事で断定の強さが揃っていない。",CLOSED,"ict-reasonable L70 に「両計画を1つの様式に統合している学校・自治体もあり、記載先は自校の様式で決まる」を追記。",FIX_BEFORE_MERGE,MEDIUM,"記載先を全国共通の対応として断定していた誤一般化を修正",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L70"
M7,Review B,MEDIUM,"「校内での共有範囲・保管場所・廃棄の決め方は[個別の教育支援計画・個別の指導計画の書き方]の「個人情報と共有範囲の注意点」にまとめています」","content/articles/special-needs-parent-collaboration.md","special-needs-parent-collaboration","「校内での共有範囲・保管場所・廃棄の決め方は[個別の教育支援計画・個別の指導計画の書き方]の「個人情報と共有範囲の注意点」にまとめています」とあるが、委譲先にその見出しは存在しない。該当する内容は「## この文書を、誰まで共有し・どう保管し・どう捨てるか」（L301）以下にある。同じ委譲先を指す reasonable-accommodation-school-record L176 は「個人情報と共有範囲の項」、behavior-record-guide L142 は「個人情報の項」と、3記事で呼び方がすべて異なる。",CLOSED,"parent-collaboration の「個人情報と共有範囲の注意点」参照は 0 件。",SUPERSEDED_BY_HIGH_FIX,MEDIUM,"M13 と同一事象。前回コミットで修正済み",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L298"
M8,Review A,MEDIUM,"8/15の記事ページで `参考資料` という同一H2が連続して2回描画される。1つ目はMarkdown本文のリンク無しリスト、2つ目はコンポ","components/ArticleReferences.tsx","","8/15の記事ページで `参考資料` という同一H2が連続して2回描画される。1つ目はMarkdown本文のリンク無しリスト、2つ目はコンポーネントのリンク・確認日つきリスト。本文側は自ら「各資料のリンクと確認日は、記事下部の参考資料欄に表示しています。」と書いており、重複であることを本文が認めている。",CLOSED,"公開記事の本文 `## 参考資料` は 0 件。コンポーネント側の1箇所のみ。rendered HTML でも「参考資料」H2 は1回。",FIX_BEFORE_MERGE,MEDIUM,"同一 H2 の二重描画を解消（8記事から本文側を削除）",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L8-11（`<h2>参考資料</h2>`）と、本文内に同名H2を持つ8記事：ai-class-newsletter-prompt.md:334／ai-koomu-kaizen-nyumon.md:269／education-ai-service-checklist-before-use.md:193／free-ict-tools-safety-checklist.md:400／giga-device-lesson-use-guide.md:243／google-forms-school-use-guide.md:242／special-needs-ict-support-tools-checklist.md:266／special-needs-parent-collaboration.md:312"
M9,Review A,MEDIUM,"first viewport は h1「特別支援教育と学校実務の判断を、現場で使える形に。」＋リード文＋「記事を読む」ボタンのみで、主張を裏","app/page.tsx","","first viewport は h1「特別支援教育と学校実務の判断を、現場で使える形に。」＋リード文＋「記事を読む」ボタンのみで、主張を裏づける要素が一つも同伴していない。実際にサイトが持っている唯一の差別化要因——運営者が特別支援学校で個別の指導計画・行動記録・合理的配慮・AAC等の業務経験を持つこと（app/operator/page.tsx:25-28）——は hero にも Header にも出てこない。Header のナビは「記事一覧」「サイトについて」の2項目だけで /operator へのリンクは無く、Footer まで下りないと到達しない。さらに1スクロール目で現れる千冬先生ブロック（L82-84）の文面は「ICTや生成AIは、使うこと自体が目的ではありません…」という旧ポジショニングのままで、h1が名指しした特別支援教育に一言も触れていない。",OPEN,"homepage first viewport は h1＋リード＋CTA のみで、運営者の実務経験は /operator にしかない、という指摘内容は現在も事実。",ACCEPTED_NONBLOCKING,MEDIUM,"hero に権威の証拠を同伴させるのは設計判断であり、AdSense の低価値判定に直結する欠陥ではない。運営者情報は Footer と About からリンク済みで到達可能。次回の改善候補として残す",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L33-52（hero）／L74-90（千冬先生ブロック）／components/Header.tsx:16-29"
M10,Review A,MEDIUM,"registry はこの記事の独自価値を「避けたい書き方から『足りない情報』を特定して書き換える対応表を、学習面・環境面・評価面の3類型ごと","content/articles/reasonable-accommodation-school-record.md","reasonable-accommodation-school-record","registry はこの記事の独自価値を「避けたい書き方から『足りない情報』を特定して書き換える対応表を、学習面・環境面・評価面の3類型ごとに示し、推測と観察事実の書き分けまで様式化した点」と記述している。本文に該当物は実在するが、実体は書き換え表が3行（L58-62）、推測→事実の置き換え表が4行（L70-75）、6欄の空欄様式が6行（L43-50）である。他の canonical と比べると、free-ict-tools の確認シートは27行、parent-collaboration の保留追跡表は8列、support-tools の確認シートは16行で、本記事の資産だけが一桁小さい。加えてこの記事だけは本文に適用限界の節も参考資料の節も持たない（19KBで公開15記事中2番目に短い）。positioning ドキュメント §3.1 自身が、この記事は着手時「実質 NONE に近い」状",CLOSED,"registry の当該セルを、本文の実体（3類型の書き換え表・4行の置換表・6欄の空欄様式）に合わせて書き直した。",FIX_BEFORE_MERGE,MEDIUM,"registry が受入ゲートの入力である以上、実体より大きい記述は残せない",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L37-98（`## 配慮記録の書き換え表（本サイト作成の参考様式）`）／docs/adsense-sixth-review/01-canonical-value-registry.csv の同 slug 行 primary_unique_value"
M11,Review A,MEDIUM,"description が293〜580字（最長 education-ai-service-checklist-before-use 580","content/articles/","","description が293〜580字（最長 education-ai-service-checklist-before-use 580字、ai-koomu-kaizen-nyumon 575字）。meta description / OG description / カード本文 / 記事ヘッダーのリード文をこの1つの文字列が兼ねている。内容も定型で、13/15が「…シート（本サイト作成の参考様式）と完全な架空の記入例を掲載しています」型の締めで終わる。",OPEN,"description は 293〜580字のまま。定型の締め文も残る。",ACCEPTED_NONBLOCKING,MEDIUM,"長さと文型の均質性は可読性・体裁の問題で、記事の独自価値そのものには影響しない。短縮すると meta description とカード説明の情報量が落ちるトレードオフがあり、本クロージャの目的（merge 可否の証明）から外れる",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"公開15記事の frontmatter `description`（各ファイル3行目）／表示は components/ArticleCard.tsx:18（line-clamp-2）と app/articles/[slug]/page.tsx:91"
M12,Review A,MEDIUM,"positioning の書き換えは hero・Footer説明・About・Operator・カテゴリ説明文をすべて改めたが、サイト名「教","app/layout.tsx","","positioning の書き換えは hero・Footer説明・About・Operator・カテゴリ説明文をすべて改めたが、サイト名「教育DXナビ」（ナビ＝案内所／ディレクトリ）と、汎用トピック語「教育DX」はそのまま残っている。この名前は Header、Footer、全ページの `<title>`、OG に出るため、審査担当者が最も多く目にする自己定義である。カテゴリ名（ICT活用／AI校務改善／教材・支援ツール／助成金・補助金／研修・セミナー）も汎用ポータルの分類語のままで、記事0件の2カテゴリが `lib/categories.ts` に定義として残っている。",OPEN,"サイト名「教育DXナビ」とカテゴリ名は変更していない。",ACCEPTED_NONBLOCKING,MEDIUM,"サイト名の変更はブランド・被リンク・Search Console に影響する Owner 判断事項であり、実装者が独断で行うべきでない。positioning は hero・title・description・Footer・About・Operator・カテゴリ説明で既に特別支援教育中心へ寄せている",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L9 `SITE_NAME = '教育DXナビ'`／components/Header.tsx:14／components/Footer.tsx:12／lib/categories.ts:3-10"
