a,b,verdict,basis,repair
chatgpt-tsuchihyo-shoken,ai-class-newsletter-prompt,OVERLAP_REQUIRES_REPAIR,"SHOKEN §7『生成文のもっともらしさを信用しない』（ハルシネーション・過度な称賛・画一化）とNEWS L176-184『入力していないのに出力に現れた要素』が同じ検出作業を扱い、両記事とも『AI出力の事実照合』という同一のworked-example目的を持つ。","NEWSがStep 4『人が事実を戻す』（原資料照合表・両方向照合・失敗する架空出力③）を保持。SHOKENは§7の一般論を削除しNEWS Step 4へ1行リンクし、所見固有の1点（他の子の所見と言い回しが重複していないか）だけを残す。"
chatgpt-tsuchihyo-shoken,digital-textbook-introduction-school-changes,DISTINCT,"接点なし。","-"
chatgpt-tsuchihyo-shoken,education-ai-service-checklist-before-use,OVERLAP_REQUIRES_REPAIR,"SHOKEN §8『校内で確認する順番：誰に・何を聞くか』とEDUAI §10『校内で誰に・どの順で確認するか』が同一の段取り（言い出す人→情報主任→管理職→学年・教委）。加えてSHOKEN §7とEDUAI §5（AIの誤り・説明責任）、SHOKEN原則①〜③とEDUAI §2も重複。","EDUAIは§10をfree-ict-tools-safety-checklist Gate 1へ委譲（ICTRA×EDUAIの修理と共通）、SHOKENは§8を削除し同じくFREE Gate 1へ1行リンク。SHOKENの原則①〜③はKOOMU Gate 2へ、EDUAI §2・§5もKOOMUへ委譲済みとし、両記事から重複ブロックを消す。SHOKENには『所見を最終確認するのは誰か』の1行だけ残す。"
chatgpt-tsuchihyo-shoken,free-ict-tools-safety-checklist,RELATED_BUT_DISTINCT,"SHOKEN L69の『情報主任・管理職に確認してから使い始める』は1文。FREEは確認の順番をあえて固定せず『設置者が定めた確認経路に乗せる』という別の立場を取っており、判断の型が異なる。","-"
chatgpt-tsuchihyo-shoken,giga-device-lesson-use-guide,DISTINCT,"接点なし。","-"
chatgpt-tsuchihyo-shoken,google-forms-school-use-guide,DISTINCT,"所見のAI利用可否とフォーム配布前設計で読者ジョブが無関係。FORMSは匿名加工情報の論点をKOOMU側と共有しており、SHOKENとは共通しない。","-"
chatgpt-tsuchihyo-shoken,special-needs-ict-support-tools-checklist,RELATED_BUT_DISTINCT,"SHOKENケース④（特別支援での配慮ある表現）とICTTOOL L123（教材準備でのAI利用注意）が特支×AIで接するが、いずれも数行で判断軸を共有していない。","-"
education-ai-service-checklist-before-use,digital-textbook-introduction-school-changes,DISTINCT,"AIサービス導入前確認とデジタル教科書の使い始めで読者ジョブが無関係。","-"
education-ai-service-checklist-before-use,giga-device-lesson-use-guide,RELATED_BUT_DISTINCT,"GIGA L364の保存・管理は2文で、EDUAIの契約・規約観点を再掲していない。GIGA側の当該記述はFREEへ委譲される。","-"
education-ai-service-checklist-before-use,google-forms-school-use-guide,RELATED_BUT_DISTINCT,"EDUAI §6『やめられるか』とFORMS L67『いつ受付と保管を終えるか』が接するが、FORMS側はフォーム固有の3か所削除という具体で、EDUAI §6はFREEへ委譲される予定。","-"
education-ai-service-checklist-before-use,special-needs-ict-support-tools-checklist,RELATED_BUT_DISTINCT,"どちらも『導入前チェックリスト』を持つが、EDUAIはAIサービスの契約・規約・管理、ICTTOOLは子どもとのマッチングと引き継ぎで観点が重ならない。","-"
free-ict-tools-safety-checklist,digital-textbook-introduction-school-changes,DISTINCT,"未承認の外部サービス可否判定と、設置者が導入するデジタル教科書の使い始めで読者ジョブが異なり、共有チェックリストもない。","-"
free-ict-tools-safety-checklist,education-ai-service-checklist-before-use,OVERLAP_REQUIRES_REPAIR,"5論点が正面衝突：EDUAI §6やめられるか＝FREE Gate 5、§7年齢制限＝FREE Gate 2、§8無料で試した条件＝FREE L28、§10校内の確認順＝FREE Gate 1、§11導入前チェックリスト＝FREE確認シート（シート側は記入欄まで備え上位互換）。逆にFREE L286『利用規約のどこを見るか』はEDUAI §3・L66と正面衝突。","非AI論点はFREEが保持（Gate 1確認経路／Gate 2年齢・児童生徒アカウント／Gate 5回収・削除／L28無料は判定軸ではない／確認シート）。EDUAIは§6・§7・§8・§10・§11を削除しFREEの各Gateとシートへ1行リンク。逆に『利用規約のどこを見るか』はEDUAIが保持し、FREEはL286-304の領域一覧表を削除してEDUAI §3へリンクし、L305-309の『該当条項を確認経路に渡す』手順だけを残す。EDUAIはAI固有3点（入力の二次利用とオプトアウト既定値／生成物の権利と責任／管理者設定・ログイン方式）に縮む。"
free-ict-tools-safety-checklist,giga-device-lesson-use-guide,OVERLAP_REQUIRES_REPAIR,"実文面で確認：GIGA L364-368『データの保存と管理』（保存先とアクセス権限、クラウドは学校・自治体のルール、外部への不用意な共有、個人情報の外部アップロードを避ける）が、FREE Gate 3／Gate 5の判定内容を要約で反復している。","FREEがGate 3・Gate 5を保持。GIGAはL364-368を削除し、FREEへの1行リンクに置換する。GIGAには授業後チェック表側の1行（成果物の保存先を授業前に決めたか）だけを残す。"
free-ict-tools-safety-checklist,google-forms-school-use-guide,OVERLAP_REQUIRES_REPAIR,"実文面で確認：FORMS L59『どこに残るか』の『個人アカウントで作ると異動・退職で学校が触れなくなる』とL67『いつ受付と保管を終えるか』の保管期間・削除の一般論が、FREE Gate 5『終わるときに回収・削除できるか』と同内容。FORMS L106の識別リスク論もFREE Gate 3と重複し、確認シート＋架空記入例の骨格も同型。","FREEがGate 3（外部送信・識別）とGate 5（回収・削除・異動時の扱い）と汎用確認シートを保持。FORMSはL59の個人アカウント一般論とL67の保管期間・削除の一般論を削除しFREE Gate 5へ1行リンクし、Googleフォーム固有（オーナー移管の可否、削除・権限の対象がフォーム／スプレッドシート／ファイル提出フォルダの3か所）だけを残す。FORMSの確認シートからも汎用行（保存先・保管期間・削除・代替手段）を落としフォーム固有行だけにする。"
free-ict-tools-safety-checklist,special-needs-ict-support-tools-checklist,RELATED_BUT_DISTINCT,"ICTTOOL L208『安全・管理』の3チェックボックス（保存先・外部送信のルール確認・管理職への確認）はFREEのGate判定手順を持たない確認項目にとどまる。","-"
giga-device-lesson-use-guide,digital-textbook-introduction-school-changes,OVERLAP_REQUIRES_REPAIR,"実文面で確認：DTB §6のつまずき表（起動・ログインに時間がかかる／家庭で開けない・通信が不安定／使う機能を絞る）とL164『初回の授業前に確かめること』（アカウント発行とログイン試行／学級全員の同時アクセス／代替の用意）が、GIGA L195『授業前チェック表』とL279『よくあるトラブルと対処』の端末一般項目と同じ役割を担っている。DTB §2『紙かデジタルかで考えない』とL189判断表もGIGA L137『端末を使わない方がよい場面』と読者ジョブが接近。","GIGAが授業前チェック表と端末トラブル表（1人1分・学級3分の切り上げ基準）を保持。DTBは§6の表から端末一般の行（起動・ログインに時間がかかる／家庭で開けない・通信が不安定）を削り、L164からもネットワークと代替の端末一般項目を削ってGIGAへ1行リンク。DTBにはデジタル教科書固有（ライセンス・アカウント配布・ビューア起動・学級同時アクセス・紙との併用範囲）だけを残す。逆にL189『紙とデジタルを使い分ける判断表』はDTBの単独所有とし、GIGA L137からは紙／デジタルの比較論を落として当日運用に寄せる。"
google-forms-school-use-guide,digital-textbook-introduction-school-changes,DISTINCT,"フォーム設計とデジタル教科書導入で接点なし。","-"
google-forms-school-use-guide,giga-device-lesson-use-guide,RELATED_BUT_DISTINCT,"GIGA L47『全員参加型のリアルタイム回答』は授業中の即時集約の活用例で、匿名表示への配慮に1文触れるのみ。FORMSの配布前設計（ログイン要求・記名粒度・2か所の権限・削除場所）とは判断軸が異なる。","-"
individual-education-plan-writing-guide,ai-class-newsletter-prompt,DISTINCT,"計画様式の記入と学級通信のAI下書き照合で、読者ジョブ・資産・判断軸に共通点なし。","-"
individual-education-plan-writing-guide,ai-koomu-kaizen-nyumon,RELATED_BUT_DISTINCT,"IEP L444『生成AIへの入力は避ける』は2段落＋外部リンクのみで、KOOMU Gate 2の匿名加工情報／仮名加工情報の論証や判断手順を再掲していない。結論（入力しない）と手順（入力可否を決める）で役割が分かれている。","-"
individual-education-plan-writing-guide,chatgpt-tsuchihyo-shoken,RELATED_BUT_DISTINCT,"実文面を確認したところ、IEP L444には匿名化・抽象化・観点だけ入力の4原則群は存在せず『入力を避ける』の結論のみ。SHOKENの原則①〜③との重複は実体がない。","-"
individual-education-plan-writing-guide,digital-textbook-introduction-school-changes,RELATED_BUT_DISTINCT,"DTB §5の4ステップのうち計画記載に触れるのは1行のみで、すでにIEPへ誘導リンクがある。計画の書き方と教科書導入で別ジョブ。","-"
individual-education-plan-writing-guide,education-ai-service-checklist-before-use,DISTINCT,"計画様式の記入とAIサービス導入前確認で読者ジョブが無関係。共有チェックリストなし。","-"
individual-education-plan-writing-guide,free-ict-tools-safety-checklist,RELATED_BUT_DISTINCT,"IEP L425『保存場所・保存方法（学校のサーバー・クラウド利用ルールに従う）』がFREE Gate 3/5に接するが1段落のみ。計画文書の管理と外部サービス可否判定で別ジョブ。","-"
individual-education-plan-writing-guide,giga-device-lesson-use-guide,OVERLAP_REQUIRES_REPAIR,"GIGA L322-329『個別の支援計画と連携して考える』が、IEP §10『ICT活用を計画に入れるとき』（端末使用自体を目標にしない／本人・保護者・関係職員と相談／試して見直す）と同じ内容を短縮再掲している。","IEPが§10を保持。GIGAはL322-329を削除しIEP §10への1行リンクに置換する。GIGAには端末運用側の1文（計画に位置づけた使い方は授業前チェック表の『使う機能を絞る』に反映する）だけ残す。"
individual-education-plan-writing-guide,google-forms-school-use-guide,DISTINCT,"計画様式の記入とフォーム配布前設計で接点なし。","-"
individual-education-plan-writing-guide,reasonable-accommodation-school-record,OVERLAP_REQUIRES_REPAIR,"IEP §9『合理的配慮との関係』＋L344記録する観点と、RAR §5 L117記録に残すべき項目・§6 L140計画との関係が同じ整理を反復。IEP §11とRAR §11は個人情報・共有範囲でほぼ同文の観点。","IEPが§9・L344・§11を保持。RARは§6（L140-166）と§11（L271-289）を削除しIEP §1-3／§11へ1行リンク。RARは§9『記録の文例（避けたい書き方→よい書き方）』を記事冒頭へ繰り上げ、配慮記録の書き換え1点に重心を移す。"
individual-education-plan-writing-guide,special-needs-ict-reasonable-accommodation,OVERLAP_REQUIRES_REPAIR,"ICTRA §3『計画と記録につなぐ』の3文書対応表がIEP §9『合理的配慮との関係』＋§10『ICT活用を計画に入れるとき』L381『計画に書くときの観点』と重複。ICTRA L145のラダーもIEP L126と同型。","IEPが§10『ICT活用を計画に入れるとき』の『どの計画にどう書くか』を保持。ICTRAは§3の3文書対応表を削除しIEP §10へ1行リンクし、ICTRA固有の因果1文（配慮か指導かの仕分け結果でどちらの計画に載るかが決まる）だけを残す。ICTRA L145のラダーはBRG L221へ委譲（BRG×ICTRAの修理と共通）。"
individual-education-plan-writing-guide,special-needs-ict-support-tools-checklist,OVERLAP_REQUIRES_REPAIR,"IEP L371『ICTの目的と機能を結びつける』の機能一覧（読み上げ／音声入力／写真・動画による手順確認／スケジュール管理／AAC）が、ICTTOOLの目的別6分類（見通し／AAC／読み書き／記録／感覚／教材準備）の再掲。既知の重複(b)の派生。","ICTTOOLが目的別ICT支援ツール分類と整理表を保持。IEPはL371の機能一覧5項目を削除しICTTOOLへ1行リンク、L381『計画に書くときの観点』（どの場面で・誰が操作・どの目標のため・どの機能）だけを残す。"
individual-education-plan-writing-guide,special-needs-parent-collaboration,OVERLAP_REQUIRES_REPAIR,"PAR L237-280『個別の教育支援計画との関係（個別の指導計画との違いを含む）』がIEP §1『個別の教育支援計画とは』§2『個別の指導計画とは』§3『2つの計画の違い（表）』と同じ定義・比較を反復。IEP L126の確認順もPAR判断手順と近接。","IEPが§1-3（定義・違い・比較表）を保持。PARはL237-280から定義・違いの解説を削り、面談で誤説明が起きやすい論点＝学校教育法施行規則第134条の2の準用チェーン（第139条の2・第141条の2）だけを残しIEP §1-3へリンク。逆にIEP L126の保護者への確認部分はPARの判断手順へリンクし、IEPには前担任・コーディネーターからの情報収集だけ残す。"
individual-education-plan-writing-guide,special-needs-visual-schedule-support,OVERLAP_REQUIRES_REPAIR,"VIS L313『見直しのサイクルを仕組みとして持つ』がIEP §8『評価は次の支援につながるか』L314評価の4つの観点と、VIS L357『担任が変わると支援が途切れる』がIEP L574『引き継ぎに使えない書き方』L623チェックリストと同内容。","IEPが§8（評価の4つの観点）とL574・L623（引き継ぎ）を保持。VISはL313とL357を削除し、それぞれIEP §8／L623へ1行リンクに置換する。"
reasonable-accommodation-school-record,ai-class-newsletter-prompt,DISTINCT,"合理的配慮の記録と学級通信のAI下書きで、読者ジョブ・資産に共通点なし。","-"
reasonable-accommodation-school-record,ai-koomu-kaizen-nyumon,RELATED_BUT_DISTINCT,"RAR L283『デジタルツール・AIへの入力に注意する』は1段落＋外部リンクのみで、KOOMUのGate群・判断シートを再掲していない。","-"
reasonable-accommodation-school-record,chatgpt-tsuchihyo-shoken,RELATED_BUT_DISTINCT,"RAR L283は『要配慮個人情報を外部サービスに入力しない』の1段落で、SHOKENの原則①〜③（匿名化・観点だけ入力・抽象化）の手順を持たない。対象文書も配慮記録と所見で異なる。","-"
reasonable-accommodation-school-record,digital-textbook-introduction-school-changes,OVERLAP_REQUIRES_REPAIR,"DTB §5『合理的配慮として位置づけるとき』の4ステップ（本人・保護者と話し合う→機能と場面を整理→計画に記載→見直す）が、RAR §4 Step 1-6の圧縮版で、同じ手続きを2本が持っている。","RARが合理的配慮の手続きと記録を保持。DTBは§5（L116-131）を削除しRARへの1行リンクに置換。DTBにはデジタル教科書固有の1文（どの機能をどの場面で使うかを決めてから配慮として記録する）だけ残す。"
reasonable-accommodation-school-record,education-ai-service-checklist-before-use,DISTINCT,"配慮の手続きとAIサービス導入前確認で読者ジョブが無関係。共有チェックリストなし。","-"
reasonable-accommodation-school-record,free-ict-tools-safety-checklist,RELATED_BUT_DISTINCT,"RAR L283の外部クラウド注意が接するのみ。配慮の手続き記録と外部サービス可否判定で別ジョブ。","-"
reasonable-accommodation-school-record,giga-device-lesson-use-guide,OVERLAP_REQUIRES_REPAIR,"GIGA L315『端末が役立つ可能性のある場面』（音声入力／読み上げ・文字サイズ／タイマーで見通し／AAC）がRAR §10 L258-266の困難さ×ICT対応表と一対一で対応し、同じ対応例を別記事で反復している。","どちらも困難さ×ICT対応の再掲を持たない。GIGAはL311-329『特別支援教育での配慮』を章ごと削除しspecial-needs-ict-reasonable-accommodationへ1行リンク、RARはL258-266の対応表を削除しspecial-needs-ict-support-tools-checklistへ1行リンク（RAR×ICTTOOLの修理と共通）。"
reasonable-accommodation-school-record,google-forms-school-use-guide,DISTINCT,"配慮の記録とフォーム配布前設計で接点なし。","-"
reasonable-accommodation-school-record,special-needs-ict-reasonable-accommodation,OVERLAP_REQUIRES_REPAIR,"RAR §10 L258-266の困難さ×ICT対応表（板書／読み／手書き／見通し／意思表出）がICTRA §4『分かる・選べる・伝えられる場面の具体例』と一対一で対応。RAR §1/§2の配慮の定義・切り分けもICTRA §1/§2と重複し、§12 Q&Aの入試・テストはICTRA L136と同論点。","ICTRAが§2『合理的配慮と教育課程上の指導・支援の切り分け』とL136『評価場面で追加で確認すること』を保持。RARはL258-266の対応表を削除しICTTOOLへ、§12 Q&Aの入試・定期テスト項目をICTRA L136へ1行リンクに置換。ICTRA §1の再定義はRAR §1と重複するため2行に圧縮する。"
reasonable-accommodation-school-record,special-needs-ict-support-tools-checklist,OVERLAP_REQUIRES_REPAIR,"RAR §7『よくある合理的配慮の例』（読み上げ／拡大／座席／スケジュール表・タイマー／イヤーマフ／ICT入力）とL258-266の対応表が、ICTTOOLの目的別6分類・整理表と同じ支援ツール分類を反復。既知の重複(b)。","ICTTOOLが目的別ICT支援ツール分類と整理表を保持。RARは§7の学習場面リストとL258-266の困難さ×ICT対応表を削除しICTTOOLへ1行リンク、RARには『配慮として記録に書くときの3類型（学習／環境／評価）』だけを残す。"
reasonable-accommodation-school-record,special-needs-parent-collaboration,OVERLAP_REQUIRES_REPAIR,"RAR §4 Step 1-6（相談を受ける→既存支援の確認→調整案→合意形成→校内共有→実施・見直し）がPARの判断手順①〜⑨と同一の運びを扱い、RAR §5 L117記録項目表とPAR L171面談・相談記録シートも項目が一致。PAR側は条文引用と保留追跡列を持つ上位互換。","PARが相談〜合意形成の判断手順（①〜⑨・担任裁量の3条件・⑤の言い方例）と面談記録シートを保持。RARは§4 Step 1-6（L81-115）と§12 Q&Aの『前例がない／全要望』項目を削除しPARへ1行リンク。逆にPAR L171シートからは配慮内容・実施期間・見直し時期の欄を落とし、RARの配慮記録様式へリンクして役割を分ける。"
reasonable-accommodation-school-record,special-needs-visual-schedule-support,RELATED_BUT_DISTINCT,"RAR §7の『活動の見通しを視覚的に示す（スケジュール表・タイマー）』は配慮例リストの1行のみ。VISの見通し支援本体（形式選択・予定変更・終わりの提示）とは分量も判断軸も異なる。","-"
special-needs-behavior-record-guide,ai-class-newsletter-prompt,DISTINCT,"読者ジョブが無関係（行動記録の粒度決定 vs 学級通信AI下書きの原資料照合）。共有するチェックリスト・様式・判断軸なし。","-"
special-needs-behavior-record-guide,ai-koomu-kaizen-nyumon,OVERLAP_REQUIRES_REPAIR,"BRG L240-244の生成AI段落（氏名を伏せても学年・場面・行動の組み合わせで特定される／記録の本文を入力しない）と、KOOMU L163『行動記録の原文をそのまま渡さない』＋Gate 2の論証が同一対象・同一論拠。KOOMUが名指しで行動記録を扱っている。","KOOMUがGate 2（入力可否の線引きと『氏名を伏せても特定される』論証）を保持。BRGはL240-244の生成AI段落を『行動記録は本文そのものを外部サービスに入力しない』の1文に圧縮し、判断手順はKOOMU Gate 2へリンク。KOOMU L163の行は記録の中身の説明を外しBRGへのリンク付きにする。"
special-needs-behavior-record-guide,chatgpt-tsuchihyo-shoken,RELATED_BUT_DISTINCT,"どちらも『氏名を消しても特定されうる』に触れるが、BRGの結論は『行動記録は匿名化しても入力しない』、SHOKENは『匿名化した素材なら使える』で結論が逆。既知の重複(a)の当事者リストにBRGは含まれず、共有しているのは1文の前提だけ。","-"
special-needs-behavior-record-guide,digital-textbook-introduction-school-changes,DISTINCT,"行動記録とデジタル教科書導入で接点なし。共有チェックリストなし。","-"
special-needs-behavior-record-guide,education-ai-service-checklist-before-use,RELATED_BUT_DISTINCT,"EDUAI §2が『個別の支援計画や相談記録には診断名や家庭の事情が含まれ、名前を消しただけでは誰か分かる』と特支文書に言及するが2文のみ。記録の書き方とサービス導入前確認で別ジョブ。","-"
special-needs-behavior-record-guide,free-ict-tools-safety-checklist,RELATED_BUT_DISTINCT,"BRG L240の『学校が認めているシステム・ツールの範囲内で』はFREE Gate 1の論点に接するが1文のみ。記録の粒度決定と外部サービス可否判定という別ジョブで、相互リンクが妥当。","-"
special-needs-behavior-record-guide,giga-device-lesson-use-guide,DISTINCT,"行動記録の粒度決定と端末授業の当日運用で、読者ジョブ・判断軸・様式のいずれも共有しない。","-"
special-needs-behavior-record-guide,google-forms-school-use-guide,DISTINCT,"読者ジョブが無関係（行動記録 vs フォーム配布前設計）。共有資産・チェックリストなし。","-"
special-needs-behavior-record-guide,individual-education-plan-writing-guide,OVERLAP_REQUIRES_REPAIR,"BRG L232共有範囲・L314保管廃棄がIEP §11（L404-450 共有範囲・保存場所・校外持出・廃棄）と同一。BRG L209計画連動はIEP §3/§8の再掲。逆にIEP L198行動の背景・環境要因／L202観察事実で書くはBRGのABC記録の解説と重なる。","IEPが§11（個人情報・共有範囲・保存・校外持出・廃棄）と§13失敗リストを保持。BRGはL232とL314を削除しIEP §11へ1行リンク、L209は『粒度を決めた記録は指導計画の評価欄にそのまま使える』の1文＋リンクに縮約。逆にIEP L198・L202を2〜3行に圧縮しBRGのABC記録へリンク（ABC記録の解説はBRGが単独所有）。"
special-needs-behavior-record-guide,reasonable-accommodation-school-record,OVERLAP_REQUIRES_REPAIR,"BRG L217-238『校内で共有するときの注意／共有する範囲を決める』とRAR §11 L271-289『個人情報と校内共有の注意点（共有範囲を明確にする／保管・アクセスの管理）』が同一の注意項目を反復。","共有範囲・保管の一般論はどちらも保持しない。RARは§11（L271-289）を削除しindividual-education-plan-writing-guide §11へ1行リンク、BRGもL232を削除し同じくIEP §11へリンク。BRGにはL221『共有・相談の順番』（記録固有の4段階）だけを残す。"
special-needs-behavior-record-guide,special-needs-ict-reasonable-accommodation,OVERLAP_REQUIRES_REPAIR,"ICTRA L145-158『誰に・どの順で相談するか』の6段ラダー（担任→コーディネーター→情報担当→管理職→教委）が、BRG L221『共有・相談の順番』の4段階と同型の運用則で、いずれも『記録を持って相談する／外に出す前に管理職を挟む』を反復。","BRGがL221『共有・相談の順番』を保持。ICTRAはL145-158の6段ラダーを削除し、BRG L221への1行リンクに置換。ICTRAには『ICT配慮の相談時に持参する材料（目的の言語化と試用の記録）』の1行だけ残す。"
special-needs-behavior-record-guide,special-needs-ict-support-tools-checklist,RELATED_BUT_DISTINCT,"ICTTOOL『4. 記録・振り返り支援』（写真・動画・音声による記録ツール）とBRG（記録の粒度と様式）は対象が接するが、ツール分類と記録設計で判断軸が異なる。","-"
special-needs-behavior-record-guide,special-needs-parent-collaboration,OVERLAP_REQUIRES_REPAIR,"BRG L254-274『保護者と共有するときの注意』（何を共有するか／できていることも伝える／プライバシー／医療的表現）が、PARの面談での伝え方・保護者が読む前提の記録という中核と正面から重なる。BRG L221の相談順番もPAR判断手順⑤と近接。","PARが保護者への共有・面談の運びを保持。BRGはL254-274の4小節を削除し、『記録のどの部分を面談に持ち出すか』1文＋PARへの1行リンクに置換。BRGはL221『校内での共有・相談の順番』（校内向け）だけを残し、PAR側は変更なし。"
special-needs-behavior-record-guide,special-needs-visual-schedule-support,OVERLAP_REQUIRES_REPAIR,"VIS L291『支援が合っているか見直す方法』L313『見直しのサイクルを仕組みとして持つ』L325『チームで記録・共有する』が、BRG L197-215『支援の見直しは「よくなった気がする」で行わない／定期的な振り返り／変更前後の比較』と同じ判断手順を反復。","BRGがL197-215『記録に基づく支援の見直し』を保持。VISはL313とL325を削除しBRG L197へ1行リンク。VISにはL295観察サインのうち視覚支援固有の『本人が自分で参照しているか』だけを残す。"
special-needs-ict-reasonable-accommodation,ai-class-newsletter-prompt,DISTINCT,"読者ジョブが無関係。共有チェックリストなし。","-"
